week,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
2023.18,107,spotify:track:4w9soAM7IrmYDhSXLp14p6,Jack Black,Peaches,Back Lot Music,49,62,4,2573563
2023.18,108,spotify:track:0rVJ6v23RQozOIvr1YotJP,Bakar,Hell N Back,Black Butter,108,128,7,2570545
2023.18,109,spotify:track:5gDWsRxpJ2lZAffh5p7K0w,"The Weeknd, Lana Del Rey",Stargirl Interlude,Universal Republic Records,56,107,44,2550518
2023.18,110,spotify:track:2J6OF7CkpdQGSfm1wdclqn,Brent Faiyaz,Clouded,Lost Kids,65,-1,29,2539086
2023.18,111,spotify:track:6TBzRwnX2oYd8aOrOuyK1p,"Oscar Maydon, Junior H",Fin de Semana,Rancho Humilde,85,110,16,2532147
2023.18,112,spotify:track:7fveJ3pk1eSfxBdVkzdXZ0,"Morgan Wallen, ERNEST",Cowgirls (feat. ERNEST),Big Loud Records / Mercury Records / Republic Records,32,103,9,2521480
2023.18,113,spotify:track:5TRPicyLGbAF2LGBFbHGvO,"Kanye West, Dwele",Flashing Lights,Roc-A-Fella,53,121,68,2515529
2023.18,114,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,"Big Machine Records, LLC",29,116,15,2512831
2023.18,115,spotify:track:7H0ya83CMmgFcOhw0UB6ow,Beach House,Space Song,Sub Pop Records,47,112,94,2500701
2023.18,116,spotify:track:6XSqqQIy7Lm7SnwxS4NrGx,"Feid, Young Miko",Classy 101,UMLE - Latino,84,84,3,2444974
2023.18,117,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,Taylor Swift,Midnight Rain,Taylor Swift,3,115,25,2441544
2023.18,118,spotify:track:6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Nonsense,Island Records,15,113,17,2432254
2023.18,119,spotify:track:7Lkxvfl2rkNYWS4kBDCQtN,"Peso Pluma, Blessd",Las Morras,Prajin Parlay Inc dba Prajina Records / Worms Music / Warner Music Colombia / Warner Music Latina / JM WORLD MUSIC / CIGOL,114,114,2,2427890
2023.18,120,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,6,126,123,2417453
2023.18,121,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,Foo Fighters,Everlong,RCA Records Label,60,118,39,2399026
2023.18,122,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,124,233,2385433
2023.18,123,spotify:track:2OZfJcpzSFApBxUA0gXuJz,Jack Harlow,Common Ground,Generation Now/Atlantic,123,-1,1,2369268
2023.18,124,spotify:track:0O6u0VJ46W86TxN9wgyqDj,"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),Mercury Records/Republic Records,3,129,48,2362161
2023.18,125,spotify:track:3AVrVz5rK8Hrqo9YGiVGN5,Cigarettes After Sex,Apocalypse,Partisan Records,49,127,43,2361346
2023.18,126,spotify:track:3qoftcUZaUOncvIYjFSPdE,Taylor Swift,Bejeweled,Taylor Swift,8,133,23,2357640
2023.18,127,spotify:track:6vN77lE9LK6HP2DewaN6HZ,"Lil Baby, Drake",Yes Indeed,"Quality Control Music, LLC",2,147,156,2353598
2023.18,128,spotify:track:577YBGuskWkVDCxZrLRB4v,Lil Baby,Pure Cocaine,Quality Control Music/Motown Records/Capitol Records,52,138,54,2348733
2023.18,129,spotify:track:3USxtqRwSYz57Ewm6wWRMp,Glass Animals,Heat Waves,Polydor Records,1,125,127,2345468
2023.18,130,spotify:track:5OELUCYgOHKFAvCERnAvfS,Morgan Wallen,More Than My Hometown,Big Loud / Republic,21,139,109,2330168
2023.18,131,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,62,134,34,2323110
2023.18,132,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,Chris Stapleton,Tennessee Whiskey,Mercury Nashville,98,168,105,2322211
2023.18,133,spotify:track:6PGoSes0D9eUDeeAafB2As,"Kendrick Lamar, Zacari",LOVE. FEAT. ZACARI.,Aftermath,5,144,133,2313616
2023.18,134,spotify:track:1otG6j1WHNvl9WgXLWkHTo,"Kali Uchis, Tyler, The Creator, Bootsy Collins","After The Storm (feat. Tyler, The Creator & Bootsy Collins)",EMI,134,175,2,2306447
2023.18,135,spotify:track:52NGJPcLUzQq5w7uv4e5gf,"Don Toliver, Justin Bieber, Future",Private Landing (feat. Justin Bieber & Future),Cactus Jack / Atlantic,39,130,10,2298473
2023.18,136,spotify:track:4PMqSO5qyjpvzhlLI5GnID,SZA,Good Days,Top Dawg Entertainment/RCA Records,1,132,106,2276687
2023.18,137,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,HUMBLE.,Aftermath,1,150,176,2275152
2023.18,138,spotify:track:78QR3Wp35dqAhFEc2qAGjE,"Lil Baby, Gunna",Drip Too Hard (Lil Baby & Gunna),"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",1,137,232,2265195
2023.18,139,spotify:track:3pXF1nA74528Edde4of9CC,Bryson Tiller,Don't,TrapSoul/RCA Records,82,142,89,2259101
2023.18,140,spotify:track:3sNVsP50132BTNlImLx70i,Kanye West,Bound 2,Rock The World/IDJ/Kanye/LP6,20,160,71,2252713
2023.18,141,spotify:track:3FU6urUVsgXa6RBuV2PdRk,"Diplo, Morgan Wallen",Heartless (feat. Morgan Wallen),Columbia,57,152,70,2250613
2023.18,142,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,25,140,79,2246858
2023.18,143,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,Everybody Wants To Rule The World,UMC (Universal Music Catalogue),49,151,45,2242589
2023.18,144,spotify:track:4KW1lqgSr8TKrvBII0Brf8,Kanye West,Father Stretch My Hands Pt. 1,Rock The World/IDJ/Kanye LP7,97,158,62,2240944
2023.18,145,spotify:track:01Lr5YepbgjXAWR9iOEyH1,Chief Keef,Love Sosa,UMGRI Interscope,44,148,57,2226195
2023.18,146,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,Island Records,60,141,140,2222190
2023.18,147,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,"Drake, 21 Savage, Project Pat",Knife Talk (with 21 Savage ft. Project Pat),OVO,2,157,85,2221991
2023.18,148,spotify:track:2qOm7ukLyHUXWyR4ZWLwxA,Ice Cube,It Was A Good Day,Priority Records,100,146,49,2215946
2023.18,149,spotify:track:5FkoSXiJPKTNyYgALRJFhD,Baby Keem,ORANGE SODA,Baby Keem LLC,54,159,48,2208526
2023.18,150,spotify:track:0uxSUdBrJy9Un0EYoBowng,Lil Uzi Vert,20 Min,Generation Now/Atlantic,48,-1,160,2206060
2023.18,151,spotify:track:73zawW1ttszLRgT9By826D,"Morgan Wallen, Eric Church",Man Made A Bar (feat. Eric Church),Big Loud Records / Mercury Records / Republic Records,13,122,9,2204714
2023.18,152,spotify:track:4FAKtPVycI4DxoOHC01YqD,"Yandel, Feid",Yandel 150,La Leyenda LLC,87,120,14,2187685
2023.18,153,spotify:track:2wSTnntOPRi7aQneobFtU4,SZA,Shirt,Top Dawg Entertainment/RCA Records,8,131,27,2187680
2023.18,154,spotify:track:0fv2KH6hac06J86hBUTcSf,"Tyler, The Creator",NEW MAGIC WAND,Columbia,16,170,48,2180183
2023.18,155,spotify:track:7phmBo7bB9I9YifAXqnlqV,Morgan Wallen,I Wrote The Book,Big Loud Records / Mercury Records / Republic Records,12,117,14,2179454
2023.18,156,spotify:track:5mCPDVBb16L4XQwDdbRUpz,Drake,Passionfruit,Cash Money Records/Young Money Ent./Universal Rec.,1,169,94,2172427
2023.18,157,spotify:track:7sO5G9EABYOXQKNPNiE9NR,"Offset, Metro Boomin",Ric Flair Drip (with Metro Boomin),"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",4,180,177,2171607
2023.18,158,spotify:track:7dR09k1an5JEq7ch0Y5hvV,"Chino Pacas, Fuerza Regida",Dijeron Que No La Iba Lograr,Street Mob Records,95,149,7,2169628
2023.18,159,spotify:track:4D7BCuvgdJlYvlX5WlN54t,Taylor Swift,"You're On Your Own, Kid",Taylor Swift,6,161,20,2163122
2023.18,160,spotify:track:1mMLMZYXkMueg65jRRWG1l,Luke Combs,When It Rains It Pours,River House Artists/Columbia Nashville,115,191,82,2160455
2023.18,161,spotify:track:6IyoLWzljeR3ldQo4KWHT6,Yeat,Out thë way,Field Trip Recordings/Geffen Records,47,153,22,2159784
2023.18,162,spotify:track:2kYevr8cbIAH2ha8210Bnz,Luke Combs,Love You Anyway,River House Artists/Columbia Nashville,10,123,12,2142181
2023.18,163,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,1,166,24,2131159
2023.18,164,spotify:track:40iJIUlhi6renaREYGeIDS,"Drake, Travis Scott",Fair Trade (with Travis Scott),OVO,3,163,47,2130194
2023.18,165,spotify:track:5fEB6ZmVkg63GZg9qO86jh,PARTYNEXTDOOR,Break from Toronto,OVO Sound,110,155,17,2128080
2023.18,166,spotify:track:1piak4R3yW4otWWyaSqyCH,"Junior H, Peso Pluma, Gabito Ballesteros",El Tsurito,WEA Latina,136,136,3,2124352
2023.18,167,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,J. Cole,MIDDLE CHILD,"Dreamville, Inc., Under exclusive license to Roc Nation Records",1,167,180,2122490
2023.18,168,spotify:track:5SWnsxjhdcEDc7LJjq9UHk,"21 Savage, Metro Boomin",Runnin,"Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",3,176,35,2121294
2023.18,169,spotify:track:7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,Universal Republic Records,27,162,115,2120941
2023.18,170,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,6,185,24,2118233
2023.18,171,spotify:track:1qMMYpVatbRITKCfq1gasi,Future,PUFFIN ON ZOOTIEZ,Epic/Freebandz,4,178,50,2114531
2023.18,172,spotify:track:0kzN7YAMSbmlHOvxlbQW9y,"Grupo Marca Registrada, Grupo Frontera",Di Que Si,"RB Music, Inc. (RB Music/Grupo Marca Registrada)",128,154,5,2112362
2023.18,173,spotify:track:7FAFkQQZFeNwOFzTrSDFIh,"Mac Miller, Empire of the Sun",The Spins,Rostrum Records,61,179,101,2109959
2023.18,174,spotify:track:2Dct3GykKZ58hpWRFfe2Qd,Zach Bryan,Heading South,Warner Records,70,186,25,2099180
2023.18,175,spotify:track:3XgGQ1wjo5khvq2UImjyNF,Brent Faiyaz,ALL MINE,"Lost Kids LLC., Marketed by Venice / Stem",22,198,38,2097875
2023.18,176,spotify:track:65FftemJ1DbbZ45DUfHJXE,NewJeans,OMG,ADOR,28,143,17,2089213
2023.18,177,spotify:track:5hVghJ4KaYES3BFUATCYn0,"Tyler, The Creator",EARFQUAKE,Columbia,1,-1,76,2088325
2023.18,178,spotify:track:78aELoNP2X3DC3rjHEVLPy,Jack Harlow,Is That Ight?,Generation Now/Atlantic,178,-1,1,2078226
2023.18,179,spotify:track:69AIpwGNLxr4qS1X5ynx60,"Jordan Davis, Luke Bryan",Buy Dirt,MCA Nashville,67,-1,66,2073816
2023.18,180,spotify:track:4Li2WHPkuyCdtmokzW2007,"JAY-Z, Kanye West",Ni**as In Paris,Roc Nation/RocAFella/IDJ,107,181,62,2070149
2023.18,181,spotify:track:2XHzzp1j4IfTNp1FTn7YFg,"Lil Wayne, Drake, Future",Love Me,CM/Republic,181,182,7,2065273
2023.18,182,spotify:track:4ygQ5wSuzzNRevVjup1qV2,"Luis R Conriquez, Tony Aguirre, Peso Pluma",El Gavilán,Kartel Music / Prajin Music,182,184,3,2057531
2023.18,183,spotify:track:2IlT65thKQQw248mhk2PjQ,Brent Faiyaz,JACKIE BROWN,"Lost Kids LLC., Marketed by Venice / Stem",122,-1,8,2052257
2023.18,184,spotify:track:410ZZP746AQeiywhKvXWCo,"Tyler, The Creator",SORRY NOT SORRY,Columbia,9,87,5,2047696
2023.18,185,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,188,175,2047263
2023.18,186,spotify:track:4osgfFTICMkcGbbigdsa53,Frank Ocean,Novacane,Red Zone Entertainment / IDJ,90,172,15,2045211
2023.18,187,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,All Girls Are The Same,Juice WRLD Mixtape / ISR P&D,13,194,260,2045167
2023.18,188,spotify:track:5r30gHLxvhp60XMc5TIIMh,Jack Harlow,Denver,Generation Now/Atlantic,188,-1,1,2044873
2023.18,189,spotify:track:65OVbaJR5O1RmwOQx0875b,"Drake, Lil Baby",Wants and Needs (feat. Lil Baby),OVO,2,200,108,2043963
2023.18,190,spotify:track:23Lyy7ZXRvzfgH4JtDkKrX,Grupo Frontera,No Se Va - EN VIVO,Grupo Frontera,49,145,27,2042692
2023.18,191,spotify:track:58k32my5lKofeZRtIvBDg9,Baby Keem,HONEST,Baby Keem LLC,39,-1,30,2030244
2023.18,192,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide,Atlantic Records,95,195,30,2029990
2023.18,193,spotify:track:3GZD6HmiNUhxXYf8Gch723,Frank Ocean,Lost,Red Zone Entertainment / IDJ,14,171,48,2027319
2023.18,194,spotify:track:0lEjxUUlKqjqXrVlIHFduD,"Gunna, Drake",P power (feat. Drake),300 Entertainment,14,199,18,2027200
2023.18,195,spotify:track:0JtgoDDf0ggWaoXCGhcOoT,Morgan Wallen,Sunrise,Big Loud Records / Mercury Records / Republic Records,21,165,9,2025363
2023.18,196,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,Rimas Entertainment LLC,10,183,52,2025279
2023.18,197,spotify:track:0pytLWYHCQdheIWB2Ay5Dk,Jack Harlow,Ambitious,Generation Now/Atlantic,197,-1,1,2022235
2023.18,198,spotify:track:6K4t31amVTZDgR3sKmwUJJ,Tame Impala,The Less I Know The Better,Universal Music Australia Pty. Ltd.,117,187,129,2016621
2023.18,199,spotify:track:6Ox1rvlwEpB49drasQm6RF,Lil Peep,Star Shopping,Lil Peep,100,-1,75,2013151
2023.18,200,spotify:track:3jHdKaLCkuNEkWcLVmQPCX,"Tyler, The Creator",BEST INTEREST,Columbia,200,-1,1,2012967
2023.19,1,spotify:track:3qQbCzHBycnDpGskqOWY0E,"Eslabon Armado, Peso Pluma",Ella Baila Sola,DEL Records,1,1,8,12893063
2023.19,2,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,3,15,11650614
2023.19,3,spotify:track:6pD0ufEQq0xdHSsRbg9LBK,"Grupo Frontera, Bad Bunny",un x100to,Rimas Entertainment LLC.,2,2,4,10144775
2023.19,4,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,4,22,7777383
2023.19,5,spotify:track:2UW7JaomAMuX9pZrjVpHAU,"Yng Lvcas, Peso Pluma",La Bebe - Remix,WM Mexico,4,5,7,7710103
2023.19,6,spotify:track:7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,6,6,97,7566533
2023.19,7,spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,FIFTY FIFTY,Cupid - Twin Ver.,WM Korea,7,8,8,7224857
2023.19,8,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,"PinkPantheress, Ice Spice",Boy's a liar Pt. 2,Warner Records,1,7,14,7017384
2023.19,9,spotify:track:2mpoNBkngUEwnaKoBhZ0vl,"Peso Pluma, Natanael Cano",PRC,Prajin Parlay Inc dba Prajin Records / Rancho Humilde / Los CT,9,10,15,6168752
